State Name,State Code,Region,Featured,Slug
Wisconsin,WI,Midwest,,wisconsin
Minnesota,MN,Midwest,,minnesota
New Mexico,NM,Southwest,,new-mexico
California,CA,West,true,california
Texas,TX,Southwest,true,texas
Mississippi,MS,Southeast,,mississippi
Kentucky,KY,Southeast,,kentucky
Colorado,CO,West,true,colorado
Nevada,NV,West,,nevada
Maine,ME,Northeast,,maine
Oregon,OR,Pacific Northwest,,oregon
Nebraska,NE,Midwest,,nebraska
Utah,UT,West,,utah
Alabama,AL,Southeast,,alabama
Indiana,IN,Midwest,,indiana
Iowa,IA,Midwest,,iowa
Wyoming,WY,West,,wyoming
New York,NY,Northeast,true,new-york
Pennsylvania,PA,Northeast,,pennsylvania
Rhode Island,RI,Northeast,,rhode-island
South Carolina,SC,Southeast,,south-carolina
Arkansas,AR,Southeast,,arkansas
Arizona,AZ,Southwest,true,arizona
Delaware,DE,Northeast,,delaware
Missouri,MO,Midwest,,missouri
North Dakota,ND,Midwest,,north-dakota
Washington,WA,Pacific Northwest,true,washington
Kansas,KS,Midwest,,kansas
Maryland,MD,Northeast,,maryland
New Hampshire,NH,Northeast,,new-hampshire
New Jersey,NJ,Northeast,,new-jersey
West Virginia,WV,Southeast,,west-virginia
Connecticut,CT,Northeast,,connecticut
North Carolina,NC,Southeast,,north-carolina
Hawaii,HI,West,,hawaii
Montana,MT,West,,montana
Oklahoma,OK,Southwest,,oklahoma
Florida,FL,Southeast,true,florida
Georgia,GA,Southeast,,georgia
Virginia,VA,Southeast,,virginia
Idaho,ID,West,,idaho
South Dakota,SD,Midwest,,south-dakota
Michigan,MI,Midwest,,michigan
Tennessee,TN,Southeast,,tennessee
Alaska,AK,West,,alaska
Illinois,IL,Midwest,,illinois
Louisiana,LA,Southeast,,louisiana
Massachusetts,MA,Northeast,,massachusetts
Vermont,VT,Northeast,,vermont
Ohio,OH,Midwest,,ohio
